location,latitude,longitude,direction
5-1,25.743323795456067,-97.5090707276315,wsw
5-2,26.569803000115098,-97.46122193157228,wsw
5-3,27.233098991453048,-97.42282058470535,nw
5-4,27.849853980580406,-97.30730950336424,nnw
5-5,28.277296125660875,-96.59833094541827,n
reference,27.233098991453048,-97.42282058470535,nan
